,Count,Type
http://www.caaquebec.com/,48,Product
https://www.caaquebec.com/,31,Product
https://www.caaquebec.com/fr/sur-la-route/interets-publics/les-pires-routes/,11,Campaign
https://www.caaquebec.com/fr/,10,Product
http://www.caaquebec.com/Accueil/,8,Product
https://www.caaquebec.com/en/,7,Product
https://www.caaquebec.com/en/on-the-road/advice/tips-and-tricks/tip-and-trick/show/sujet/windshield-wipers-everything-you-need-to-know/,6,Blog
https://www.caaquebec.com/fr/actualite/nouvelles/article/pneus-dhiver-cest-pas-ce-que-je-cherche/,6,Campaign
https://www.caaquebec.com/fr/sur-la-route/interets-publics/les-pires-routes/palmares-2022-par-regions/,5,Campaign
https://www.caaquebec.com/fr,5,
https://www.caaquebec.com/fr/sur-la-route/interets-publics/dossier-essence/composantes-du-prix-de-lessence/,5,Blog
https://www.caaquebec.com/fr/nous-joindre/centres-dinspection-automobile/,5,Product
https://www.caaquebec.com/fr/sur-la-route/interets-publics/dossier-essence/info-essence/,5,Tool
https://www.caaquebec.com/en/on-the-road/advice/tips-and-tricks/tip-and-trick/show/sujet/driving-an-electric-vehicle-in-winter/,4,Blog
https://www.caaquebec.com/en/on-the-road/approved-auto-repair-services/,4,Product
https://www.caaquebec.com/fr/sur-la-route/interets-publics/les-pires-routes/palmares-2016-par-regions/,4,Campaign
http://www.caaquebec.com/Accueil/Index.htm?lang=en,4,Product
https://www.caaquebec.com/en/on-the-road/advice/tips-and-tricks/tip-and-trick/show/sujet/save-money-on-gas-15-simple-things-you-can-start-doing-today/,4,Blog
https://www.caaquebec.com/en/news/press-releases/article/speeding-in-school-zones-is-spine-chilling,3,Campaign
https://www.caaquebec.com/en/at-home/guides/reshingling-your-roof/identifying-the-parts-of-the-roof-and-understanding-their-functions/,3,Blog
http://www.caaquebec.com/fileadmin/documents/PDF/Sur_la_route/Hotels_et_restaurants/Criteres_approbation_hotel_en.pdf,3,Campaign
https://www.caaquebec.com/fr/a-la-maison/guides/guide-des-insectes-nuisibles/la-fourmi/,3,Blog
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/consommation-deau-dans-la-maison-maison-ecoleau/,3,Blog
https://www.caaquebec.com/en/on-the-road/public-interest/worst-roads/,3,Campaign
https://www.caaquebec.com/en/at-home/advice/tips-and-tricks/tip-and-trick/show/sujet/heating-with-oil/,3,Blog
https://www.caaquebec.com/en/news/press-releases/article/the-myth-is-true-quebec-has-the-worst-roads/,3,Campaign
https://www.caaquebec.com/en/on-the-road/public-interest/gasoline-matters/gasoline-watch/,3,Campaign
https://www.caaquebec.com/fr/sur-la-route/services/verification-de-sieges-dauto-pour-enfants/,2,Campaign
https://www.caaquebec.com/fr/sur-la-route/reseaux-recommandes/garages-recommandes/,2,Tool
https://www.caaquebec.com/Habitation/TrucsEtConseils/CapsulesConseilsDetail.htm?lang=en&tipsid=e7d50107-568b-406a-8587-c58fdd8c35b1&highlightpostinginnavigation=06d0afb5-44cd-4577-83ab-ac1a9441fb9d,2,Blog
https://www.caaquebec.com/fileadmin/documents/PDF/Sur_la_route/Securite_routiere/Pneus_dhiver_en_ETE_Version_finale_Septembre_2008ABANG.pdf,2,Campaign
https://www.caaquebec.com/en,2,Product
https://www.caaquebec.com/fr/a-la-maison/entreprises-recommandees/,2,Partnership
https://www.caaquebec.com/fr/sur-la-route/conseils/,2,Blog
https://www.caaquebec.com/en/storage/graffiti-some-tips-for-prevention-and-cleaning/winter-driving-tips/,2,Blog
https://www.caaquebec.com/fr/a-la-maison/,2,Product
http://www.caaquebec.com/DocumentLibrary/UploadedContents/RoadTestAttachment/KiaRioLS2001_0.pdf,2,Campaign
https://www.caaquebec.com/fr/actualite/communiques-de-presse/article/si-javais-les-ailes-dun-ange-je-partirais-pour-le-quebec/,2,Campaign
https://www.caaquebec.com/en/caa-quebec-foundation/,2,Product
https://www.caaquebec.com/en/on-the-road/advice/tips-and-tricks/tip-and-trick/show/sujet/driving-on-winter-tires-in-summer-a-risky-venture/,2,Blog
https://www.caaquebec.com/en/on-the-road/advice/tips-and-tricks/tip-and-trick/show/sujet/thinking-of-buying-a-vehicle-in-the-us/,2,Blog
https://www.caaquebec.com/fr/gerer-mon-adhesion/modifier-votre-adhesion/,2,Product
https://www.caaquebec.com/fr/sur-la-route/reseaux-recommandes/verification-de-sieges-dauto-pour-enfants/,2,Campaign
https://www.caaquebec.com/fr/sur-la-route/services/immatriculation-et-permis-de-conduire/,2,Campaign
https://www.caaquebec.com/en/at-home/advice/tips-and-tricks/tip-and-trick/show/sujet/closing-the-cottage/,2,Blog
https://www.caaquebec.com/en/at-home/advice/tools-and-references/radon-in-the-house/,2,Blog
https://www.caaquebec.com/fr/a-la-maison/guides/refaire-ma-toiture-de-bardeaux/evaluer-letat-de-ma-toiture/,2,Blog
https://www.caaquebec.com/en/at-home/advice/tips-and-tricks/tip-and-trick/show/sujet/inspecting-a-flat-roof/,1,Blog
https://www.caaquebec.com/en/at-home/advice/tips-and-tricks/tip-and-trick/show/sujet/foundation-parging-decorative-but-functional-as-well/,1,Blog
http://www.caaquebec.com/Automobile/GaragesRecommandes/Garages-Recommandes.htm,1,Campaign
https://www.caaquebec.com/fr/fondation-caa-quebec/grands-dossiers/ethylometres/elimination-de-lalcool-cinq-mythes-deboulonnes,1,Blog
https://www.caaquebec.com/fr/sur-la-route/interets-publics/dossier-essence/composantes-du-prix-de-lessence,1,Blog
https://www.caaquebec.com/fr/a-la-maison/conseils/outils-et-references/outils-pratiques/,1,Blog
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/lasphaltage-dune-entree-pour-des-resultats-durables/,1,Blog
https://www.caaquebec.com/fr/covid-19-coronavirus-sante-et-securite-avant-tout/,1,Campaign
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/drain-de-fondation-problemes-et-solutions/,1,Blog
http://www.caaquebec.com/en,1,Product
https://www.caaquebec.com/en/at-home/advice/tips-and-tricks/tip-and-trick/show/sujet/soundproofing-strategies-for-reducing-noise-between-floors/,1,Blog
https://www.caaquebec.com/fileadmin/documents/PDF/assurances/Transport_Accident_Insurance_Plus_Policy_Oct21.pdf,1,Product
https://www.caaquebec.com/en/on-the-road/advice/tips-and-tricks/tip-and-trick/show/sujet/pothole-damage-claims-and-compensation/,1,Blog
https://www.caaquebec.com/fr/application-mobile/,1,Product
https://www.caaquebec.com/fr/sur-la-route/services/service-routier-durgence/,1,Campaign
https://www.caaquebec.com/en/on-the-road/guides/buying-or-leasing-my-car/new-or-used-how-to-choose/,1,Blog
https://www.caaquebec.com/en/at-home/advice/tips-and-tricks/tip-and-trick/show/sujet/ladders-and-stepladders-101/,1,Blog
https://www.caaquebec.com/caa-dollars-and-discounts/trouvez-des-rabais/garages-recommandes/atelier-mecanique-de-normandie-inc/,1,Tool
https://www.caaquebec.com/en/for-your-insurance/tips/tips-and-tricks/sujet/car-theft-and-insurance-what-is-the-procedure-to-follow/,1,Blog
https://www.caaquebec.com/en/for-your-insurance/tips/tips-and-tricks/sujet/motorcycle-insurance-the-whole-story/,1,Blog
https://www.caaquebec.com/en/at-home/guides/your-healthy-home-guide/radon/,1,Blog
http://www.caaquebec.com/DocumentLibrary/UploadedContents/RoadTestAttachment/kia-rondo-2007-fr_0.pdf,1,Campaign
https://www.caaquebec.com/fr/sur-la-route/services/sieges-dauto-pour-enfants,1,Campaign
https://www.caaquebec.com/fr/actualite/communiques-de-presse/intentions-de-vacances-estivales-2019-resultats/,1,Campaign
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/guide-dachat-des-produits-deglacants,1,Blog
https://www.caaquebec.com/fr/vos-privileges/rabais-caa/detail/privilege/aquarium-du-quebec/,1,Partnership
https://www.caaquebec.com/en/news/news/article/new-study-and-ranking-to-answer-concerns-about-rust/,1,Campaign
https://www.caaquebec.com/nc/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/les-humidificateurs-portatifs/,1,Blog
https://www.caaquebec.com/fr/sur-la-route/interets-publics/dossier-essence/info-essence-1,1,Tool
https://www.caaquebec.com/en/on-the-road/advice/tips-and-tricks/tip-and-trick/show/sujet/effective-ways-to-lower-your-fuel-costs/,1,Blog
https://www.caaquebec.com/en/on-the-road/public-interest/road-safety/photo-radar-and-red-light-cameras/,1,Campaign
https://www.caaquebec.com/fr/auto/conseils/capsules-conseils/conseil/show/sujet/economiser-sur-lessence-15-trucs-simples-a-mettre-en-pratique/,1,Blog
https://www.caaquebec.com/index.php?id=7294,1,Campaign
http://www.caaquebec.com/Habitation/?lang=fr,1,Product
https://www.caaquebec.com/fr/a-la-maison/conseils/outils-et-references/du-radon-dans-la-maison/dosimetres-et-autres-instruments-de-mesure-pour-le-radon/,1,Blog
http://www.caaquebec.com/Habitation/TrucsEtConseils/CapsulesConseilsDetail.htm?lang=fr&TipsID=4507fe36-3074-4c76-83f3-9207fc26de57,1,Blog
http://www.caaquebec.com/Habitation/,1,Product
https://www.caaquebec.com/en/on-the-road/services/child-car-seat-verification-network/,1,Campaign
https://www.caaquebec.com/en/at-home/advice/tips-and-tricks/tip-and-trick/show/sujet/assessing-the-potential-health-risks-of-basements/,1,Blog
https://www.caaquebec.com/en/pour-vos-assurances/assurance-auto/,1,Product
https://www.caaquebec.com/en/on-the-road/advice/tips-and-tricks/tip-and-trick/show/sujet/mandatory-winter-tires-important-clarifications/,1,Blog
https://www.caaquebec.com/fr/auto/conseils/capsules-conseils/conseil/show/sujet/dommages-causes-par-un-nid-de-poule-quels-sont-vos-recours/,1,Blog
https://www.caaquebec.com/fr/pour-vos-assurances/conseils/conseil/sujet/assurance-vie-collective-ou-individuelle-quelles-sont-les-differences/,1,Blog
https://www.caaquebec.com/fr/sur-la-route/conseils/essais-routiers/,1,Blog
https://www.caaquebec.com/en/for-your-insurance/tips/tips-and-tricks/sujet/preparing-your-auto-insurance-quote-request/,1,Blog
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/moustiques-et-mouches-noires-comment-les-tenir-a-distance/,1,Blog
http://www.caaquebec.com/DocumentLibrary/UploadedContents/RoadTestAttachment/ToyotaYaris2007_1.pdf,1,Campaign
https://www.caaquebec.com/fr/rabais-et-dollars-caa/trouver-des-rabais/entreprises-recommandees/a-bas-prix-extermination-inc/,1,Partnership
https://www.caaquebec.com/en/for-your-insurance/car/videos-to-demystify-your-auto-insurance/,1,Blog
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/les-champs-electromagnetiques-et-la-sante/,1,Blog
https://www.caaquebec.com/fr/auto/conseils/capsules-conseils/conseil/show/sujet/nids-de-poule-les-bris-les-plus-frequents-sur-votre-voiture/,1,Blog
https://www.caaquebec.com/fr/sur-la-route/conseils/outils-et-references/couts-dutilisation-des-vehicules/,1,Blog
https://www.caaquebec.com/fr/actualite/communiques-de-presse/article/nouveau-a-caa-quebec-lassistance-velo/,1,Campaign
https://www.caaquebec.com/en/news/news/article/votre-permis-de-conduire-valide-aux-etats-unis-tout-a-fait/,1,Campaign
https://www.caaquebec.com/en/on-the-road/advice/tips-and-tricks/tip-and-trick/show/sujet/potholes-the-most-likely-types-of-damage-to-your-car/,1,Blog
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/echelles-et-escabeaux-101/,1,Blog
https://www.caaquebec.com/fr/a-la-maison/guides/guide-des-animaux-envahissants/la-souris-et-le-rat/,1,Blog
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/detecteurs-de-fumee-et-de-monoxyde-de-carbone/,1,Blog
https://www.caaquebec.com/fr/a-la-maison/conseils/outils-et-references/du-radon-dans-la-maison/,1,Blog
http://www.caaquebec.com/fr,1,Product
http://www.caaquebec.com/Habitation/TrucsEtConseils/CapsulesConseilsDetail.htm?TipsID=11dc9cb2-b2ce-4c4a-ad89-7379540b7da2&lang=en,1,Blog
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/moisissures-dans-votre-maison-il-faut-les-eliminer,1,Blog
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/toilette-a-faible-debit-deau-bien-la-choisir/,1,Blog
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/evaluation-immobiliere-limpartialite-est-un-gage-de-qualite/,1,Blog
https://www.caaquebec.com/en/on-the-road/advice/tips-and-tricks/tip-and-trick/show/sujet/five-questions-to-ask-yourself-before-buying-your-first-electric-vehicle/,1,Blog
https://www.caaquebec.com/anticongestion,1,Campaign
https://www.caaquebec.com/fr/en-voyage/voyages-en-avion-droits-et-recours/,1,Blog
https://www.caaquebec.com/fr/sur-la-route/garages-recommandes/,1,Tool
https://www.caaquebec.com/fr/rabais-et-dollars-caa/trouver-des-rabais/assurance-voyage-caa-quebec/,1,Product
https://www.caaquebec.com/fr/a-la-maison/conseils/capsules-conseils/conseil/show/sujet/vendre-sa-maison-soi-meme-quelques-conseils/,1,Blog
http://www.caaquebec.com/en/on-the-road/services/child-car-seat/,1,Campaign
https://www.caaquebec.com/en/news/press-releases/article/idp-state-of-georgia-follows-up-on-requests-from-caa-quebec/,1,Campaign
https://www.caaquebec.com/en/at-home/advice/tips-and-tricks/tip-and-trick/show/sujet/chimney-cleaning-more-than-just-a-simple-sweep/,1,Blog
http://www.caaquebec.com/Automobile/GaragesRecommandes/Garages-Recommandes.htm?&MSHiC=65001&L=4&W=GARAGE%20GARAGES%20GARAGISTE%20RECOMMAND%C3%89%20RECOMMAND%C3%89E%20RECOMMAND%C3%89ES%20RECOMMAND%C3%89S%20RECOMMANDAIT%20RECOMMANDATION%20RECOMMANDATIONS%20RECOMMANDENT%20RECOMMANDERA%20RECOMMANDONS%20&Pre=%3CFONT%20STYLE%3D%22color%3A%20%23000000%3B%20background-color%3A%20%23FFFF00%22%3E&Post=%3C/FONT%3E&lang=fr,1,Campaign
https://www.caaquebec.com/en/at-home/guides/your-healthy-home-guide/temperature-and-humidity-variations/,1,Blog
https://www.caaquebec.com/nc/en/at-home/advice/tips-and-tricks/tips-and-tricks/show/sujet/keys-to-a-long-lasting-car-shelter-quality-materials-careful-handling/,1,Blog
https://www.caaquebec.com/en/at-home/advice/tips-and-tricks/tip-and-trick/show/sujet/hrv-or-erv-which-ventilation-system-to-choose/,1,Blog
https://www.caaquebec.com/fr/actualite/communiques-de-presse/article/lassurance-voyage-cest-requis-au-canada-aussi/,1,Campaign
https://www.caaquebec.com/fr/actualite/nouvelles/article/35-degres-dehors-66-degres-dans-lauto/,1,Campaign
https://www.caaquebec.com/fr/sur-la-route/services/assistance-velo/?itcid=assistance-velo&itccat=accroches,1,Campaign
