Entity,Salience
"$14,400",0.0
"$240,000",0.0
"$250,000",0.0
"$4,800",0.0
"$50,000",0.0
"$9,000",0.0
0,0.0
1.25,0.0
1.5,0.0
11,0.0
120,0.0
14,0.0
"14,400",0.0
16,0.0
17,0.0
184,0.0
19,0.0
2.25,0.0
20%,0.00678987754508853
2018,0.0
2022,0.0
21,0.0
22,0.0
23,0.0
24,0.0
"240,000",0.0
"250,000",0.0
27,0.0
28,0.0
28%,0.00030203169444575906
29,0.0
3.5,0.0
31,0.0
33,0.0
34,0.0
34 Credits For First-Time Homebuyers,3.592374923755415e-05
35,0.0
37,0.0
38,0.0
39,0.0
"4,800",0.0
41,0.0
43,0.0
48,0.0
"50,000",0.0
580,0.0
590,0.0
59½,0.0
66303,0.0
78,0.0
9,0.0
"9,000",0.0
A House For The First Time,0.001993792364373803
ARM,0.0004954877658747137
ARM rates,0.002369804074987769
Agents,0.00026653133681975305
Alternatives,8.71413794811815e-05
American,0.00017589631897863
Amy Fontinelle,0.0002632953110150993
Andrew Dehan,0.02884563058614731
Andrew Dehan9,0.0006386771565303206
Answer,0.0002925231819972396
Application,0.0001358286062895786
Are You Ready,0.0001334471016889438
Article,6.816554378019646e-05
Articles,6.812556966906413e-05
Attorney fees,0.00031296556699089706
Barbara Marquand,8.343113586306572e-05
Benefits,0.000481226319000901
Best Way,4.361574974609539e-05
Beyonce,5.138569758855738e-05
Bidding War,0.00010864265641430393
Borrowers Section 184 Loan Resources,7.576531788799912e-05
Bottom Line,0.0004344493354437873
Broker,0.00011698207526933402
Budget,0.005422787993059804
Buyers,0.0006585734285181388
Buying Process,0.0010941476793959737
Buying Your First Home,0.0001156664002337493
CANADIAN,0.00015954820264596492
Cat,0.0003523766645230353
Certified Notary Public,0.00030070124194025993
Clients,0.0002489255493856035
Close,0.0007565933628939092
Closing,0.0001928149868035689
Closing Costs,0.0005920678643936602
Closing Disclosure,0.0022851608227938414
Coachella,5.138569758855738e-05
Complaints,0.00015790657926118
Complete Homebuying Guide,8.035644714254886e-05
Congratulations,0.00040817294029693585
Consent,0.0006751239998266101
Construction Loans Work,5.854909977642819e-05
Consumer Financial Protection Bureau,0.0008182627643691376
Copies,0.0036744701210409403
Correction,0.000825130904559046
Costs,0.00023288209922611713
Credit,0.0018648191374571372
Credits,0.0008110622875392437
DTI,0.0005709861779905623
DTIs,2.6300955141778104e-05
Debt-to-Income Ratio,0.00017817746993387118
Debt-to-Income Ratio Important,0.0005593607784248888
Definition,0.0001237798084427292
Deposit Insurance,0.0001270219509024173
Description,0.0005736055172747001
Detroit,0.00015534866543021053
Difference,0.00013083720114082098
Differences,0.0001089140132535249
Discount points,0.00018692354205995798
Don't Forget,0.004044611472636461
Don't Stop Learning,0.0005440684035420418
Don't Stop Learning Investing,6.599960761377588e-05
Down Payment,0.0034479036316042767
Down payment,0.0014913696941221133
Email Address,0.00010712503717513755
Equifax,0.0008105661254376173
Escrow,0.0001291773332923185
Escrow fees,0.00031296556699089706
Everything,0.0003129466495011002
Experian,0.008978286758065224
FAQs,9.544390923110768e-05
FHA,0.000807773438282311
FHA Loan,0.0003417045372771099
FHA Loans Help You,0.0001308805658482015
FHA loan,0.0007539610960520804
Factors,0.00013014578144066036
Federal Deposit Insurance Corporation,0.0005948937032371759
Federal Housing Administration,0.0006036905106157064
Federal Housing Authority,0.001340664690360427
Fees,0.0002129728891304694
Finance,0.00020964843861293048
Financing Options,0.00041709831202751957
Financing Preapprovals,0.00025697617093101144
First Name Last Name,4.884465306531638e-05
First-Time Homebuyers,0.00028293978539295495
Fixer-uppers,0.00025345214089611545
Game,0.0005118146073073149
Getting An IHDA Loan,0.00010775391274364665
Good,5.147200863575563e-05
Google,0.00015005565364845097
Health,0.002640083257574588
Here to Home,9.83272329904139e-05
Hidden Costs of Owning a Home,0.00013758294517174363
Home,0.000700740770844277
Home A Guide,7.846541848266497e-05
Home Appraisal,0.00011930595064768568
Home Buying Checklist For First,0.0007981539238244295
Home Features,0.00027718593082681764
Home Inspection,0.00014098978135734797
Home Warranty,9.915033297147602e-05
Home Warranty Companies,0.00015030398208182305
Home purchasing tips,0.0011955056615988724
Home shopping tips,0.001754592900397256
Homebuyer,0.0017274533165618777
Homebuyer Advantages,8.79110157256946e-05
Homebuyer Buying,8.00913549028337e-05
Homebuyer's Guide,0.00041628198232501745
Homebuyers,0.2672436237335205
Homeowner,0.0009460950604989193
Homeownership,0.00038632654468528926
Homeownership costs,0.00018755105338641442
House,0.0007743540263618343
House Price,0.0006755958092981018
Housing Market,0.00042015268506171804
How It Works,9.407930338056758e-05
Hurdles,8.69973300723359e-05
IRA,7.38353919587098e-05
IRAs,6.913135439390317e-05
IRS Annual Filing Season Program Participant,0.00030070124194025993
Illinois,5.5225278629222885e-05
Illinois Housing Development Authority,0.00017828776617534459
Importance,0.00010872707207454368
Individual Retirement Arrangements,6.913135439390317e-05
Inspector,0.0010211892367806286
Internal Revenue Service,0.0005065846489742398
Investing,0.0005198849830776453
Investment,0.00014595055836252868
Investopedia,8.460132085019723e-05
J.D.,0.00022423546761274338
"January 11, 2023",0.0
"January 12, 2023",0.0
"July 13, 2022",0.0
Katharine Beer,5.1387414714554325e-05
Key Takeaways,0.0002636426652316004
Lawyer,7.431878475472331e-05
Lea Uradu,0.0013129340950399637
Learn,8.699148747837171e-05
LinkedIn,6.418392877094448e-05
Links,5.193405377212912e-05
Loan,0.0024170519318431616
Loan Home,0.0013415279099717736
Loan Options,0.0017735370201990008
Loans,0.00027087415219284594
Location,0.00012387694732751697
MORE,0.02428526058793068
"March 27, 2023",0.0
"March 31, 2023",0.0
Maryland,0.00022423546761274338
Millennials,8.938580140238628e-05
Miranda Crace,0.00043677783105522394
Mistakes,0.00013031368143856525
More,0.0003891166634275578
Mortgage,0.00054878701994312
Mortgage Lenders,0.00021149481472093612
Mortgage Mistakes,0.00013000307080801576
Mortgage interest rates,0.0005621135933324695
Mortgage lenders,0.0008714033174328506
Mortgage lending discrimination,0.00013726370525546372
Mortgage selection tips,0.0013693204673472792
Moving Up: Dream House or Money Pit,0.00016355457773897797
Much,0.0002657622826518491
Name,0.0004700293648056686
National Guard,0.00021591901895590127
Native American,0.00013222677807789296
Needs,0.002514804267169287
NerdWallet,0.011126762256026268
New Home,0.00022777637059334666
New York,5.8512945543043315e-05
Nice,9.444528404856101e-05
Nice-To-Haves,0.0006447872146964073
Nonnegotiables,0.0005141280707903206
OHFA Homebuyer Program,0.00013451890845317394
Off-Market Homes,0.0002517982211429626
Offer,0.0006172260342282243
Ohio,0.00012450902431737632
Ohio Housing Finance Agency,0.00027466806932352483
PMI,0.00021639602346112952
Pages,0.00010829294236221661
Paperwork,0.004326208028942347
Parents,5.193519973545335e-05
Password,0.00011930759501410648
Password Show Password,0.00011930759501410648
Patrick Chism,0.0003455255355220288
Pest,0.00011042111873393878
Physical Assets,6.41730657662265e-05
Pitfalls,0.00010878374450840056
Pre-Approved,0.00012375852384138852
Preapproval,0.0069853953900747
Preapprovals,4.393984636408277e-05
Prequalification letter,0.0002918598474934697
Privacy Policy,0.0050411890260875225
Profile,0.002552092308178544
Property Use,0.0024075082037597895
Publication,0.00012264324323041365
Qualifications,0.00033069517667172477
Questions,0.0004958958452334628
READERS,0.00027008121833205223
REALTOR,0.0013680662959814072
REALTORS,0.0002684858627617359
REALTOR®,0.0003986170922871679
ROIs,0.00011813544551841915
Real Estate,0.00012703644460998476
Real Estate Agent,0.000685144502009886
Real Estate Broker,0.00013730836508329958
Realtor,0.0006028930656611919
Related Resources Home Buying Checklist For First,9.702988609205931e-05
Renovation mortgages,0.0007252106443047523
Resources,0.0009191305143758655
Retirement,0.0004151291032030713
Right,8.723971404833719e-05
Rocket Mortgage,0.007349529740167782
Roth IRA,0.00010312678932677954
Saving,8.210995292756706e-05
Scanning,4.8679215979063883e-05
Section,0.00012998377314943355
Section 184 Indian Home Loan Guarantee Program,0.0001345021737506613
Seller Disclosures,0.00011678982991725206
Seller concessions,0.0009497590363025665
Sellers,0.0010666987218428403
Selling,0.0005021919751015957
Share,0.0008056716178543866
Sources,6.816554378019646e-05
Starter Home,0.00038611775380559266
State,0.0007804430206306279
Steps,0.00016933602455537766
TPA,5.1397822971921414e-05
Table of Contents,0.00010559572547208518
Takeaways,0.0001364166528219357
Tax Writer,0.0005089976475574076
Tax credits,0.000575432917685248
Telephone Consumer Protection Act.,0.00040112988790497184
Terms of Use,0.002405907027423382
The Bottom Line,0.00031363885500468314
The Complete Consumer Guide,9.45796855376102e-05
Things,0.000250602873469082
Tips,0.0006202699134721317
Title,0.00012380296539049596
Title insurance expenses,0.000302582629956305
TransUnion,0.0009695928893052042
Transfer,8.700910984771326e-05
Tricks,0.00047827037997194566
Trulia,5.147595584276132e-05
Twitter,5.636469359160401e-05
Two,0.0
Type,0.0014182862347903817
Types,0.0002024209898081608
U.S. Department of Housing and Urban Development,0.0015010181959951296
USDA,0.00078975161886774
Username,0.0012589468387886882
VA,0.0005981087742839009
VA loan,0.0004758705763379112
VITA Tax Preparer,0.0002553254016675055
Victoria Araj,0.00034577748738229275
W-2s,0.00014166912296786904
Washington,0.00012450902431737632
Washington State Housing Finance Commission,0.00016979956126306206
Ways,0.004623837769031525
Will Guide You Through the Homebuying Process,0.0001531096058897674
Work,0.0010329761328951765
ZIP code,0.002160474890843034
ability,0.00010778071009553969
accident,0.00023423656239174306
accordance,0.0001888029946712777
account,0.00013865424261894077
account things,0.00014131901843938977
activities,0.0007670344784855843
adjustable-rate mortgage,0.0010676461970433593
advance,0.00027026786119677126
advantage,0.0002998370036948472
advantages,0.0003544033315847628
advice,0.0005934654036536813
agent referrals,0.000425955920945853
agents,0.0005708883672923548
answer,0.0009669752325862646
anyone,0.001030378250288777
appraiser,0.0033422308042645454
approval,0.0005064294673502445
arbitration,0.0005803752792417072
archivist,8.699148747837171e-05
article,0.0001055507964338176
aspect,0.00026516380967223085
assessment,0.00046410856884904206
asset,0.0008936639642342925
assets,0.0003147045354126021
assistance,0.001035608525853604
assistance programs,0.0006951571461589386
association fees,0.0001588640734553337
attorney fees,0.00036983370227972046
audit,0.0003519894034980098
author,0.00023412208975059912
authorities,0.00016580299779889174
backup lender,0.0002505344309611246
bank statements,0.00018582984193926677
bargain,0.00027014227816835046
bathroom,0.00013845104695064947
bathroom layout,9.70553246588679e-05
bedrooms,0.0002030715113505721
behavior patterns,0.001553529524244368
belongings,0.0005986925098113716
best,0.0012376202503219247
bidding,0.00029525088029913604
bills,0.0016318328756218155
bond,0.000299047511362005
bottom line,0.0011387536069378257
brakes,0.0008031288743950427
bump,0.00011753621947718784
business,0.0002925231819972396
business contacts,0.0001468438931624405
buyer competition,0.000351570313796401
buyer programs,0.0002606557682156563
buying process,0.0014158333651721478
calculation,0.00026869440443988424
car maintenance,0.0003020880976691842
car purchase,0.0025967571418732405
card,0.00029589802943519317
carpets,0.00029504773556254804
cars,0.00023419255740009248
categories,0.0009073696855921298
category,0.0002300140495208325
certificate,0.000615447002928704
challenges,0.0007676864042878151
chances,0.0017605202738195658
checklist,0.0020738847088068724
children,0.00020058565132785589
claim,7.997530883585569e-05
class,0.0010310130892321467
closing,0.00039676066565637785
clothing,0.0001926792019730783
comfort zone,0.0002953354560304433
commission,0.0002216946450062096
commitment,0.000630662492767442
communities,0.0027934389654546976
community gardens,8.698858437128365e-05
commute,0.0003687846474349499
commuting costs,9.121561743086204e-05
compliance,0.00019906811940018088
comps,7.702421862632036e-05
concessions,4.884161717200186e-05
condominium,0.0004779670174078395
confidence,0.000266401119006332
contact information,0.009674319066107273
content,9.622261131880805e-05
control,0.004718588199466467
copies,0.0022428809315897524
copy,0.00015509580407524481
cost assistance,0.0018641679780557752
counteroffer,0.00015021011495264247
counteroffers,0.00017638281860854477
counties,0.00028220456442795694
crawl spaces,0.0002693434289540164
credit Mortgage selection tips,0.002264278708025813
credit balance,0.00030248440452851355
credit card,0.0003026452905032784
credit card balances,0.0002715211630857084
credit cards,0.0025409169029444456
credit report,0.00030259089544415474
credit report charges,7.996987369551789e-05
credit reports,0.0027799380477517843
credit score,0.0022617912145506125
credit score requirements,0.0013739003334194422
credit scores,0.00015170392362051643
credit union,0.00011746407835744321
daughter,0.00023277965374290943
debt obligations,0.0005603675963357091
debts,0.00018415134400129318
decisions,0.003530847607180476
decrease,0.0004350610252004117
decreases,0.00020467453578021377
deed,0.00017115660375566222
definition,0.0008938567480072379
delays,0.0001416041050106287
demand,0.0005968600162304938
desire,0.00020266171486582607
desires,0.0007657156675122678
determinant,0.0007773382822051644
direction,0.0007149369339458644
discount,6.116213626228273e-05
discount points,0.003661439521238208
discount points calculator,0.00041649414924904704
distress,0.00011824417015304789
dogs,0.00023277965374290943
door,0.000541465931746643
down payment amount,0.0034539769403636456
down payment assistance,0.0003821704788909604
down payment assistance loans,0.0005849008448421955
down payment calculator,0.0008893044723663479
down payment requirement,0.0066040437668561935
down payments,0.0009386781360565996
dream,0.0012889171096806724
dream home,0.002978414064273238
duplex,0.0006205205199876218
each,0.0049745915457606316
edge,0.0001885872770799324
editor,8.699148747837171e-05
email address,0.0014825569232925773
emergency,0.0002334111777599901
emergency savings account,0.00034542813591542654
emotion,0.00020266171486582607
employer,0.0006380461272783577
employment,0.0001345852215308696
employment information,0.00015405459271278232
energy bills,5.2572679123841226e-05
entertainment,0.0001926792019730783
entertainment options,0.0004199115210212767
entrants,0.00040777618414722383
errors,0.0007751854815675566
escrow,0.0001272967056138441
estimate,6.090638089517597e-05
evaluation,0.00014167815606924705
events,0.0024543236941099167
expectation,0.002169339219108224
experience,0.0006365564283138762
experts,0.0025068907998502254
feelers,0.00011761223140638322
few,0.00018773649935610592
figure,0.00023017855164653156
file cabinet,0.00017115660375566222
finance,0.00043020737066399304
finish,0.001170107745565474
first-timer,0.0007245706801768392
fit,9.573130955686793e-05
fixed-rate mortgage,0.0027280247304588556
fixer-upper,0.00024413350693066604
focus,0.0006533066043630242
food,0.0001926792019730783
forces,0.0011002002283930779
fortunes,0.00020423090609256178
frame,0.00029263077885843813
freedom,0.00020264083286747336
funding,0.00023800453709554859
furnishings,0.0007105345794116147
gaps,8.048458948906045e-05
government agency,0.0010274075902998447
government data,4.563638140098192e-05
grants,0.00128466788737569
green spaces,0.00020304687495809048
gross income,0.0005290757271723123
group,0.000265080470853718
growth,5.3849542382522486e-05
guarantee,0.00021349940652726218
guarantee fee,6.374136683007237e-05
guard,0.00011363637895556167
hassle,9.673410568211693e-05
headache,0.0005121828871779144
health,0.00020467453578021377
help,0.0001220646154251881
home affordability,0.00015159870963543653
home affordability calculator,0.0015410719643114135
home buyer assistance programs,0.0018425720045343041
home buyer programs,0.00225854435848305
home buyer tips,0.0005148654454387724
home inspection contingency,0.0015891933580860496
home inspections,0.001712837382607783
home inspections buyers,0.0006757850060239434
home loan,0.0004949610411131289
home loan process,0.0026781619526445866
home loans,0.00047608297609258443
home mortgage,0.0007485905080102384
home office,0.00017302528431173414
home ownership,0.0005032943615030187
home price,0.00033676973058997345
home purchase,0.001068058489181567
home repairs,0.0033598984591662884
home sellers,0.0001951596641447395
home shoppers,0.0012827327591367066
home shopping,0.00045631901593878865
home tours,0.00035311949613969773
home-buyers,0.0004979532095603645
home-buying process,0.00025638157239882275
home-purchasing power,0.0005665604257956147
homebuyer,0.001589488922036253
homebuyer programs,0.00039809838926885277
homebuyers,0.0014591845974791795
homebuying,0.000705421858583577
homebuying experience,0.002561533125117421
homebuying knowledge,0.0008253658306784928
homemaker,0.0010800713207572699
homeowner Budget,0.00013127719284966588
homeowners association fees,0.0004951392184011638
homeowners insurance,0.00048244427307508886
homeownership education,0.00017255810598726384
homeownership goals,0.0011841311352327466
horizon,0.0008033172925934196
house hunting,0.00027815482462756336
house prices,0.00022579181677429006
house purchase,0.0002925737790064886
household income restrictions,0.00018643977819010615
housing bubble,9.46898217080161e-05
housing expenses,0.0014505343278869987
housing market,0.00019014552041577795
housing recession,9.576651791576296e-05
hunting,0.0006448075146181509
hurdles,0.0017600193386897445
impact,0.00011601632650126703
imperfections,0.001463180175051093
incident,0.00023425883409800008
income taxes,0.00021670612477464601
independence,0.00026436287589604035
individual,0.0007111230297596194
individuals,0.00013867541565559804
industry experts,9.836177196120843e-05
inflation,0.00023049494666338433
injury,0.00023423656239174306
inspection fees,0.00031296556699089706
instances,0.00012106940448575187
institution,0.0008006861025933176
interest rate lenders,0.0012342295667622238
interest rates,0.00038845208049072727
interests,0.0007759454310871661
interviews,9.385037992615253e-05
investing,0.0006357694510370493
investments,0.012840491719543934
investor markets,0.00017274053971050307
job relocation,7.991111124283634e-05
kids,0.0002303085657331394
killing,6.322852459561545e-05
left,9.690129627415445e-05
lender match,0.00040208497375715524
lender risk analysis,9.353668792755343e-05
letter,0.0004480060027466
liability insurance,0.00025395953707629815
lifestyle,0.001410239186952822
light,0.00025658353115431964
limit,0.0003361378039699048
living,9.409651829628274e-05
loan amount,0.001378457931423327
loan estimates,0.0003793362120632082
loan factors,0.00014131901843938977
loan money,0.00015980761963874102
loan offer,0.0005644393968395889
loan origination fees,0.00011759241533582099
loan payments,0.0002583531604614109
loan program,0.0009936843998730183
loan services,0.00034341757418587804
locales,0.0006382972351275384
love,0.00026411977887619287
loved ones,0.0005563845625147223
loyalty,0.0012308406876400113
lure,0.0009690997540019453
marital status,0.00017495604697614908
market conditions,0.00016032226267270744
maximum,0.00022689886009175098
means,9.465207403991371e-05
member,0.00033496498508611694
members,0.00018641917267814279
military service members,0.0023503266274929047
military service requirements,0.0004291255318094045
mistake,0.000252094529059832
mistakes,0.00023761751072015613
model building codes,0.0001411983867001254
mold,0.00020455043340916745
money deposit,0.0011863663094118237
money deposit letter,0.0003662689996417612
money liquid,6.398144432750996e-05
money pit,9.996635344577953e-05
mortgage affordability,9.462275193072855e-05
mortgage amount,0.00032647017360432073
mortgage banker,0.00020471560856094584
mortgage broker,0.00013834109995514154
mortgage calculator,0.0004010358497907873
mortgage companies,0.0005807392444694415
mortgage company,7.872595597291365e-05
mortgage loan,0.006705260369926691
mortgage loan term,0.0027960112784057856
mortgage loans,0.0008778572082519531
mortgage options,0.001684311544522643
mortgage paperwork,0.00014454391566687264
mortgage preapproval,0.001272348256316036
mortgage rates,0.0021366015425883234
mortgage statements,0.0003024483739864081
mortgage term,0.0006190518033690751
mortgage types,0.0029692333191633224
movers,7.99632070993539e-05
musician,0.00023279768356587738
nature,0.00046086256043054163
nature-lover,0.00023279768356587738
need,0.0031796281691640615
negotiating power,0.00027017321554012597
neighborhood,0.0007950713297759648
neighborhoods,0.00035944072684894007
neighbors,0.00029321908368729055
net income,0.0017285806825384498
no one,9.386381316289771e-05
nonprofit organizations,0.0003119090433756355
nothing,8.611566227045842e-05
novice,0.00031209143708110787
novices,0.00013841373584000394
odors,0.00024845582811394706
offer letter,0.0003037321293959394
offering price,0.00047778425505384803
open house,0.0004486982070375234
organizations,0.0005987930344417691
origin,0.000899839389603585
origination fees,0.0004908147966489196
outcome,0.0005185198970139027
overview,0.00013668927203980274
owner,0.00018789651221595705
pages,0.0008920836844481528
parent,0.00045936673996038735
parents,0.0011833550524897873
path,0.0008253658306784928
performance,8.698858437128365e-05
perks,0.001034994493238628
pests,0.00020455043340916745
pets,0.00019810616504400969
photos,0.0002950874622911215
piggyback loan,0.00029464042745530605
pitfalls,0.0002042992491624318
portfolio,0.00046086256043054163
portion,0.0022488872418762185
pre-approval,0.00014668398216599599
preapproval,0.0006045976000937767
prequalification,0.0009403763882194957
price limit,0.00033618512679822743
price range,0.000648874492617324
prices,0.00016159705955942627
pricing,0.001427247072570026
principal,0.00023017855164653156
priorities,0.001011190630379133
proceeds,0.0015040789730846882
profit,0.00011148065095767379
progression,0.004683324601501226
project,0.001170107745565474
property issues,0.00043580689816735685
property ladder,0.00011753621947718784
publishers,6.119923637015745e-05
purchaser,0.0002482734271325171
put,7.989116966200527e-05
qualification standards,0.0008785015088506043
qualities,0.00023025836708256975
quality,0.0004388599918456748
race,0.0007640899275429547
radon,0.00020455043340916745
rate quotes,0.0003742268308997154
ratio,0.00032384234145865776
read,0.00047572507173754275
real estate agents,0.0002957505603262689
real estate courses,0.0011144450400024652
real estate investment,0.00030341552337631583
real estate professional,0.0004899177583865821
real estate websites,0.00014178499986883253
reality,0.00041282524762209505
reason,0.00035580542074361193
reference,0.0001542036588944029
regulations,0.0001478183585277293
religion,9.687586680229288e-05
remodeling,0.0002488429454388097
rent payments,0.0017144804587587714
rental,0.00010741323421825655
repair costs,0.0011996097164228559
report,0.00019793584942817688
reporting,6.488055805675685e-05
reports,0.00026361981872469187
request references,0.0004156315990258008
research,0.00011593754607019946
residences,0.0006664700922556221
resource list,0.0001543122489238158
retirees,0.00013655901784659363
retirement,0.0001365674615954049
retirement account,0.0001645209704292938
retirement savings,0.00040133838228939567
retirement savings accounts,0.0007751849479973316
return,0.00017578839833731763
review documents,0.00029268578509800136
reviews,0.0013179065426811576
right,0.0002723553334362805
road,0.00029529290623031557
roof,0.00022375378393917343
rundown,0.0003393321458133869
rush,0.000491625727590872
rush hour,0.0003363304422236979
safety,9.117380250245333e-05
sale signs,0.00013852886695531197
sanity,0.0007628060411661863
savings account,0.0005971304926788434
score,0.004696373226276289
search,0.0009858788544079289
searches,0.0011689336388371885
selling price,0.00014917216321919113
senses,0.000533571801497601
sex,9.687586680229288e-05
shoppers,0.004084384068846703
shopping,0.0016627272780169733
showings,0.0004886427777819335
sign,0.0003113415550615173
single-family homes,0.0019764932803809643
six,0.0
source,0.00010480240962351672
sources,6.816554378019646e-05
spending,0.00026013062451966105
spot,0.0002692869384190999
spouses,0.0013734869426116347
stages,0.0005119501729495823
standards,0.00019464685283310246
star,0.004377332050353289
starter home,0.002746955491602421
state,0.00024504448083462194
state governments,0.00033065981551771984
state programs,0.0003005706093972549
states,0.0002942881910712458
stock markets,0.00013365395352593623
storage,0.00477110780775547
stress,0.00029529290623031557
structure,0.00018431039886005843
student debt,0.0003936238408641657
substitute,0.00010213270070380531
supply,7.115550579328556e-05
support system,0.0001955749321496114
surprises,0.00043782201828435063
surveys,7.996987369551789e-05
sweat equity,0.00031574518895164755
systems,0.0015617750614183024
tab,0.00039093565101211425
tabs,0.00015509580407524481
tasks,0.0002654303207236808
tax breaks,0.0002409309454378672
tax-exempt status,0.0009181026252917945
technology,0.0002951276255771518
term,0.00015841898857615888
test,0.0001870832493295893
three,0.0
thumb,9.462275193072855e-05
timeline,0.0002975917886942625
tip,0.0034537899773567915
title insurance,0.00014681917673442513
title search,0.00011760040797526017
toe,0.0010967887938022614
ton,7.998078035598155e-05
tool,9.814300392463338e-05
tours,0.00036842128611169755
townhome,0.00029321908368729055
townhomes,0.000293180113658309
transfers,0.006921524181962013
umbrella policy,0.0002667295921128243
understanding,0.0003445014590397477
underwriting guidelines,0.00021960433514323086
updates,0.00024890719214454293
upgrades,0.0007105345794116147
upkeep,0.00026283515035174787
upside,0.0038107940927147865
use,9.687586680229288e-05
vacations,9.690129627415445e-05
variety,0.00021932199888397008
vehicle,0.0006458198513428215
vehicles,0.00011818706116173416
version,8.046665425354149e-05
veterans,0.0011002002283930779
vision,0.0002001602406380698
visits,0.00019650597823783755
wallpaper,0.0012317070504650474
water heater,7.993674626050051e-05
ways,0.00037556132883764803
wealth,0.0009310633759014308
wife,0.0007916644099168479
wiggle room,0.0005222796462476254
withdrawal(s),0.0001077054075722117
worry,0.00030179484747350216
writer,0.00014924661081749946
writers,0.00015309535956475884
writing,0.0001166551373898983
